Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,,,,,,,,,,,,,
Sky,6/3/15,42.00,Debit,56391516,723.75,,,,,,,,,,,,,,,,,,,
Lambeth June,6/3/15,87.33,Debit,56391517,636.42,,,,,,,,,,,,,,,,,,,
Vodaphone,6/4/15,37.50,Debit,56391518,598.92,,,,,,,,,,,,,,,,,,,
Fitness First,6/4/15,30.00,Debit,56391519,568.92,,,,,,,,,,,,,,,,,,,
The Ridley arms,6/5/15,689.89,Credit,56391520,"1,258.81",,,,,,,,,,,,,,,,,,,
Strenght power speed,6/6/15,10.00,Debit,56391521,"1,248.81",,,,,,,,,,,,,,,,,,,
Nandos,6/6/15,13.41,Debit,56391522,"1,235.40",,,,,,,,,,,,,,,,,,,
Ocado,6/7/15,131.09,Debit,56391523,"1,104.31",,,,,,,,,,,,,,,,,,,
The Ridley arms,6/12/15,437.33,Credit,56391524,"1,541.64",,,,,,,,,,,,,,,,,,,
Thomas cook,6/13/15,450.00,Debit,56391525,"1,091.64",,,,,,,,,,,,,,,,,,,
Starbucks,6/13/15,5.99,Debit,56391526,"1,085.65",,,,,,,,,,,,,,,,,,,
Vinopolis,6/13/15,15.88,Debit,56391527,"1,069.77",,,,,,,,,,,,,,,,,,,
Ocado,6/14/15,102.22,Debit,56391528,967.55,,,,,,,,,,,,,,,,,,,
The Ridley arms,6/19/15,437.33,Credit,56391532,"1,404.88",,,,,,,,,,,,,,,,,,,
Waitrose,6/19/15,9.99,Debit,56391533,"1,394.89",,,,,,,,,,,,,,,,,,,
TFL.GOV.UK/CP TFL TRAVEL,6/20/15,8.99,Debit,56391534,"1,385.90",,,,,,,,,,,,,,,,,,,
Transfer,6/20/15,60.60,Debit,56391535,"1,325.30",,,,,,,,,,,,,,,,,,,
Cash,6/21/15,30.00,Debit,56391536,"1,295.30",,,,,,,,,,,,,,,,,,,
Ocado,6/21/15,160.00,Debit,56391537,"1,135.30",,,,,,,,,,,,,,,,,,,
e.ON,6/22/15,98.21,Debit,56391538,"1,037.09",,,,,,,,,,,,,,,,,,,
The Ridley arms,6/26/15,437.33,Credit,56391539,"1,474.42",,,,,,,,,,,,,,,,,,,
TFL.GOV.UK/CP TFL TRAVEL,6/27/15,2.40,Debit,56391540,"1,472.02",,,,,,,,,,,,,,,,,,,
Nandos,6/27/15,12.99,Debit,56391541,"1,459.03",,,,,,,,,,,,,,,,,,,
HMV,6/27/15,9.99,Debit,56391542,"1,449.04",,,,,,,,,,,,,,,,,,,
Ocado,6/28/15,112.78,Debit,56391543,"1,336.26",,,,,,,,,,,,,,,,,,,
THAMES WATER,7/1/15,26.66,Debit,56391544,"1,309.60",,,,,,,,,,,,,,,,,,,
Rent,7/1/15,450.00,Debit,56391545,859.60,,,,,,,,,,,,,,,,,,,
TFL.GOV.UK/CP TFL TRAVEL,7/2/15,5.50,Debit,56391546,854.10,,,,,,,,,,,,,,,,,,,
Chilango,7/2/15,5.99,Debit,56391547,848.11,,,,,,,,,,,,,,,,,,,
Savings,7/2/15,200.00,Debit,56391548,648.11,,,,,,,,,,,,,,,,,,,
The Ridley arms,7/3/15,599.99,Credit,56391549,"1,248.10",,,,,,,,,,,,,,,,,,,
Sky,7/3/15,42.00,Debit,56391550,"1,206.10",,,,,,,,,,,,,,,,,,,
Strenght power speed,7/3/15,5.00,Debit,56391551,"1,201.10",,,,,,,,,,,,,,,,,,,
Lambeth July,7/3/15,87.33,Debit,56391552,"1,113.77",,,,,,,,,,,,,,,,,,,
Vodaphone,7/4/15,43.26,Debit,56391553,"1,070.51",,,,,,,,,,,,,,,,,,,
Fitness First,7/4/15,55.00,Debit,56391554,"1,015.51",,,,,,,,,,,,,,,,,,,
TFL.GOV.UK/CP TFL TRAVEL,7/4/15,5.50,Debit,56391555,"1,010.01",,,,,,,,,,,,,,,,,,,
Dancing,7/4/15,15.00,Debit,56391556,995.01,,,,,,,,,,,,,,,,,,,
Ocado,7/5/15,112.21,Debit,56391557,882.80,,,,,,,,,,,,,,,,,,,
Tortia,7/8/15,12.99,Debit,56391558,869.81,,,,,,,,,,,,,,,,,,,
Google,7/10/15,120.00,Credit,56391559,749.81,,,,,,,,,,,,,,,,,,,
National rail,7/10/15,92.00,Debit,56391560,657.81,,,,,,,,,,,,,,,,,,,
Cost,7/10/15,5.50,Debit,56391561,652.31,,,,,,,,,,,,,,,,,,,
The Ridley arms,7/10/15,437.33,Credit,56391562,"1,089.64",,,,,,,,,,,,,,,,,,,
Cost,7/12/15,5.50,Debit,56391563,"1,084.14",,,,,,,,,,,,,,,,,,,
Sainsbury,7/12/15,15.87,Debit,56391564,"1,068.27",,,,,,,,,,,,,,,,,,,
Ocado,7/12/15,112.31,Debit,56391565,955.96,,,,,,,,,,,,,,,,,,,
Amazon,7/16/15,3.99,Debit,56391566,951.97,,,,,,,,,,,,,,,,,,,
ASOS,7/16/15,116.55,Debit,56391567,835.42,,,,,,,,,,,,,,,,,,,
GBK,7/17/15,22.21,Debit,56391568,813.21,,,,,,,,,,,,,,,,,,,
Cash,7/17/15,120.00,Debit,56391569,693.21,,,,,,,,,,,,,,,,,,,
The Ridley arms,7/17/15,589.36,Credit,56391570,"1,282.57",,,,,,,,,,,,,,,,,,,
Gatwick express,7/19/15,32.00,Debit,56391571,"1,250.57",,,,,,,,,,,,,,,,,,,
Travel money,7/19/15,350.00,Debit,56391572,900.57,,,,,,,,,,,,,,,,,,,
Starbucks,7/19/15,5.30,Debit,56391573,895.27,,,,,,,,,,,,,,,,,,,
e.ON,7/22/15,98.21,Debit,56391574,797.06,,,,,,,,,,,,,,,,,,,
Starbucks,7/25/15,5.30,Debit,56391575,791.76,,,,,,,,,,,,,,,,,,,
Ocado,7/26/15,113.24,Debit,56391576,678.52,,,,,,,,,,,,,,,,,,,
Amazon,7/27/15,23.22,Debit,56391577,655.30,,,,,,,,,,,,,,,,,,,
The Ridley arms,7/31/15,56.00,Credit,56391578,711.30,,,,,,,,,,,,,,,,,,,
The drink,7/31/15,24.11,Debit,56391579,687.19,,,,,,,,,,,,,,,,,,,
Strenght power speed,7/31/15,15.00,Debit,56391580,672.19,,,,,,,,,,,,,,,,,,,
Gig,8/1/15,45.00,Debit,56391581,627.19,,,,,,,,,,,,,,,,,,,
Rent,8/1/15,450.00,Debit,56391582,177.19,,,,,,,,,,,,,,,,,,,
THAMES WATER,8/1/15,26.66,Debit,56391583,150.53,,,,,,,,,,,,,,,,,,,
Ocado,8/2/15,101.87,Debit,56391584,48.66,,,,,,,,,,,,,,,,,,,
Savings,8/2/15,50.00,Debit,56391585,-1.34,,,,,,,,,,,,,,,,,,,
Sky,8/3/15,42.00,Debit,56391586,-43.34,,,,,,,,,,,,,,,,,,,
Vodaphone,8/4/15,68.25,Debit,56391587,-111.59,,,,,,,,,,,,,,,,,,,
Fitness First,8/4/15,35.00,Debit,56391588,-146.59,,,,,,,,,,,,,,,,,,,
Tesco,8/4/15,15.46,Debit,56391589,-162.05,,,,,,,,,,,,,,,,,,,
Lambeth Aug,8/4/15,87.33,Debit,56391590,-249.38,,,,,,,,,,,,,,,,,,,
The Ridley arms,8/7/15,684.21,Credit,56391591,434.83,,,,,,,,,,,,,,,,,,,
Nandos,8/7/15,12.37,Debit,56391592,422.46,,,,,,,,,,,,,,,,,,,
Strenght power speed,8/7/15,10.00,Debit,56391593,412.46,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
