Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,
"2525 30MAY12 , LIV*LIVINGSOCIAL , 0800-014-8431 GB - POS",5/31/12,70,Debit,123520,8323.56,,,,,,,
"2525 30MAY12 , BODEANS BBQ , LONDON GB - POS",5/31/12,15.5,Debit,123521,8308.06,,,,,,,
"2525 31MAY12 , GROUPON , LONDON GB - POS",6/1/12,19,Debit,123522,8289.06,,,,,,,
"2525 31MAY12 , AFFORDABLE SUPPLEM, CASTLEFORD GB - POS",6/1/12,92.19,Debit,123523,8196.87,,,,,,,
S THREE MGMT. SERV - BAC,6/1/12,180,Credit,123524,8376.87,,,,,,,
"2525 31MAY12 , ZIZZI , LONDON GB - POS",6/1/12,18.4,Debit,123525,8358.47,,,,,,,
THE ECONOMIST - D/D,6/1/12,29,Debit,123526,8329.47,,,,,,,
"2525 30MAY12 , VUE BSL LTD , ISLINGTON GB - POS",6/1/12,22.55,Debit,123527,8306.92,,,,,,,
"0724 02JUN12 , BARROW BOY &amp; , BANKER , LONDON GB - POS",6/6/12,15.75,Debit,123528,8291.17,,,,,,,
HSBC 02JUN - ATM,6/6/12,30,Debit,123529,8261.17,,,,,,,
"2525 03JUN12 , TESCO STORES 5122 , CLAPHAM GB - POS",6/6/12,24.74,Debit,123530,8236.43,,,,,,,
"2525 05JUN12 , TESCO STORES SACAT, CLAPHAM GB - POS",6/6/12,9.07,Debit,123531,8227.36,,,,,,,
"2525 03JUN12 , TESCO STORES 5122 , CLAPHAM GB - POS",6/6/12,10.72,Debit,123532,8216.64,,,,,,,
"2525 04JUN12 , UNIQLO UK LTD , OXFRD STRET33 GB - POS",6/6/12,44.6,Debit,123533,8172.04,,,,,,,
"2525 31MAY12 , DICKENS INN BAR , LONDON GB - POS",6/6/12,10.25,Debit,123534,8161.79,,,,,,,
"2525 01JUN12 C , WAITROSE 753 , ST.KATHARINE GB - POS",6/6/12,12.45,Debit,123535,8149.34,,,,,,,
"RICHARD MYATT , PETER , FP 06/06/12 30 , 20023938612986000N - S/O",6/6/12,250,Debit,123536,7899.34,,,,,,,
"2525 03JUN12 , THE PEPPER TREE , CLAPHAM COMM GB - POS",6/6/12,12,Debit,123537,7887.34,,,,,,,
"HOUSE ACCOUNT , FP 06/06/12 30 , 21023938630638000N - S/O",6/6/12,720,Debit,123538,7167.34,,,,,,,
"2525 02JUN12 , BON BON BAR , LONDON GB - POS",6/6/12,10.75,Debit,123539,7156.59,,,,,,,
"2525 04JUN12 , MARKS &amp; SPENCER , HAMPSTEAD GB - POS",6/6/12,26.27,Debit,123540,7130.32,,,,,,,
"2525 02JUN12 , THE ROOKERY , LONDON SW4 GB - POS",6/6/12,30.5,Debit,123541,7099.82,,,,,,,
"2525 06JUN12 , WAITROSE 753 , ST.KATHARINE GB - POS",6/7/12,8.42,Debit,123542,7091.4,,,,,,,
"2525 07JUN12 C , WAITROSE 753 , ST.KATHARINE GB - POS",6/8/12,3.89,Debit,123543,7087.51,,,,,,,
"2525 07JUN12 , TESCO STORES SACAT, CLAPHAM GB - POS",6/8/12,6.96,Debit,123544,7080.55,,,,,,,
"2525 07JUN12 , WWW.ASOS.COM , HEMEL HEMPSTE GB - POS",6/8/12,275.45,Debit,123545,6805.1,,,,,,,
"2525 08JUN12 C , WAITROSE 753 , ST.KATHARINE GB - POS",6/11/12,5.21,Debit,123546,6799.89,,,,,,,
"2525 09JUN12 , GOOGLE *PARSIDA AB, GOOGLE.COM/CH GB - POS",6/11/12,6.99,Debit,123547,6792.9,,,,,,,
"2525 10JUN12 , RIVER ISLAND 400 , INTERNET GB - POS",6/11/12,69.95,Debit,123548,6722.95,,,,,,,
"2525 10JUN12 , TESCO EXPRESS 2488, EYNESHAM GB - POS",6/11/12,8.5,Debit,123549,6714.45,,,,,,,
"2525 09JUN12 C , PRET A MANGER , PINGLE DRIVE GB - POS",6/11/12,11.99,Debit,123550,6702.46,,,,,,,
"2525 09JUN12 , HUGO BOSS , BICESTER GB - POS",6/11/12,104,Debit,123551,6598.46,,,,,,,
"2525 10JUN12 , THE GOLDEN HEART , INN , GLOUCESTER GB - POS",6/11/12,24.9,Debit,123552,6573.56,,,,,,,
"2525 09JUN12 , RALPH LAUREN UK , LTD , BICESTER GB - POS",6/11/12,194.96,Debit,123553,6378.6,,,,,,,
"2525 11JUN12 C , WAITROSE 753 , ST.KATHARINE GB - POS",6/12/12,3.89,Debit,123554,6374.71,,,,,,,
"2525 11JUN12 , TESCO STORES SACAT, CLAPHAM GB - POS",6/12/12,35.83,Debit,123555,6338.88,,,,,,,
"2525 12JUN12 , GREATER ANGLIA , GER EC2M 2075 GB - POS",6/13/12,72,Debit,123556,6266.88,,,,,,,
