@relation Timestamps

@attribute PostDate DATE “yyyy-MM-dd HH:mm:ss”
@attribute TransactionAmount numeric
@attribute Balance numeric


@data
"2015-05-27 00:00:00",5.5,334.04
"2015-05-27 00:00:00",8.2,325.84
"2015-05-28 00:00:00",5.5,320.34
"2015-05-28 00:00:00",5.54,314.8
"2015-05-29 00:00:00",5.5,309.3
"2015-05-29 00:00:00",13.41,295.89
"2015-05-29 00:00:00",3.3,292.59
"2015-05-29 00:00:00",62.21,230.38
"2015-05-29 00:00:00",3564,3794.38
"2015-05-30 00:00:00",34.99,3759.39
"2015-05-30 00:00:00",120,3639.39
"2015-05-31 00:00:00",119.72,3519.67
"2015-05-31 00:00:00",13.11,3506.56
"2015-05-31 00:00:00",2.12,3504.44
"2015-06-01 00:00:00",850,2654.44
"2015-06-01 00:00:00",26.66,2627.78
"2015-06-01 00:00:00",5.5,2622.28
"2015-06-01 00:00:00",5.49,2616.79
"2015-06-02 00:00:00",200,2416.79
"2015-06-02 00:00:00",5.5,2411.29
"2015-06-02 00:00:00",5.49,2405.8
"2015-06-03 00:00:00",42,2363.8
"2015-06-03 00:00:00",87.33,2276.47
"2015-06-03 00:00:00",5.5,2270.97
"2015-06-03 00:00:00",5.49,2265.48
"2015-06-04 00:00:00",37.5,2227.98
"2015-06-04 00:00:00",55,2172.98
"2015-06-04 00:00:00",5.5,2167.48
"2015-06-04 00:00:00",5.49,2161.99
"2015-06-04 00:00:00",80,2081.99
"2015-06-06 00:00:00",10,2071.99
"2015-06-06 00:00:00",13.41,2058.58
"2015-06-07 00:00:00",131.09,1927.49
"2015-06-08 00:00:00",5.5,1921.99
"2015-06-08 00:00:00",6.99,1915
"2015-06-09 00:00:00",5.5,1909.5
"2015-06-09 00:00:00",6.99,1902.51
"2015-06-10 00:00:00",5.5,1897.01
"2015-06-10 00:00:00",5.49,1891.52
"2015-06-11 00:00:00",5.5,1886.02
"2015-06-11 00:00:00",6.99,1879.03
"2015-06-12 00:00:00",5.5,1873.53
"2015-06-12 00:00:00",5.2,1868.33
"2015-06-13 00:00:00",689,1179.33
"2015-06-13 00:00:00",5.99,1173.34
"2015-06-13 00:00:00",15.88,1157.46
"2015-06-13 00:00:00",20.99,1136.47
"2015-06-13 00:00:00",55.99,1080.48
"2015-06-14 00:00:00",122.22,958.26
"2015-06-14 00:00:00",12.43,945.83
"2015-06-15 00:00:00",5.5,940.33
"2015-06-15 00:00:00",4.99,935.34
"2015-06-15 00:00:00",12.12,923.22
"2015-06-16 00:00:00",5.5,917.72
"2015-06-16 00:00:00",4.99,912.73
"2015-06-17 00:00:00",5.5,907.23
"2015-06-17 00:00:00",4.99,902.24
"2015-06-18 00:00:00",5.5,896.74
"2015-06-18 00:00:00",4.99,891.75
"2015-06-19 00:00:00",5.5,886.25
"2015-06-19 00:00:00",4.99,881.26
"2015-06-19 00:00:00",9.99,871.27
"2015-06-20 00:00:00",8.99,862.28
"2015-06-20 00:00:00",60.6,801.68
"2015-06-20 00:00:00",30.63,771.05
"2015-06-20 00:00:00",80.25,690.8
"2015-06-21 00:00:00",100,590.8
"2015-06-21 00:00:00",183,407.8
"2015-06-22 00:00:00",98.21,309.59
"2015-06-23 00:00:00",90.42,219.17
"2015-06-25 00:00:00",4.99,214.18
"2015-06-26 00:00:00",5.5,208.68
"2015-06-26 00:00:00",5.49,203.19
"2015-06-26 00:00:00",10,193.19
"2015-06-26 00:00:00",3564,3757.19
"2015-06-27 00:00:00",2.4,3754.79
"2015-06-27 00:00:00",8.99,3745.8
"2015-06-27 00:00:00",12.99,3732.81
"2015-06-27 00:00:00",9.99,3722.82
"2015-06-28 00:00:00",112.78,3610.04
"2015-06-28 00:00:00",2.4,3607.64
"2015-06-28 00:00:00",45.76,3561.88
"2015-06-29 00:00:00",5.5,3556.38
"2015-06-29 00:00:00",5.99,3550.39
"2015-06-30 00:00:00",5.5,3544.89
"2015-06-30 00:00:00",5.99,3538.9
"2015-07-01 00:00:00",5.5,3533.4
"2015-07-01 00:00:00",5.99,3527.41
"2015-07-01 00:00:00",26.66,3500.75
"2015-07-01 00:00:00",850,2650.75
"2015-07-02 00:00:00",5.5,2645.25
"2015-07-02 00:00:00",5.99,2639.26
"2015-07-02 00:00:00",200,2439.26
"2015-07-03 00:00:00",5.5,2433.76
"2015-07-03 00:00:00",5.99,2427.77
"2015-07-03 00:00:00",42,2385.77
"2015-07-03 00:00:00",5,2380.77
"2015-07-03 00:00:00",87.33,2293.44
"2015-07-04 00:00:00",43.26,2250.18
"2015-07-04 00:00:00",55,2195.18
"2015-07-04 00:00:00",5.5,2189.68
"2015-07-04 00:00:00",15,2174.68
"2015-07-05 00:00:00",112.21,2062.47
"2015-07-06 00:00:00",5.5,2056.97
"2015-07-07 00:00:00",5.5,2051.47
"2015-07-07 00:00:00",4.99,2046.48
"2015-07-08 00:00:00",5.5,2040.98
"2015-07-08 00:00:00",5.29,2035.69
"2015-07-08 00:00:00",12.99,2022.7
"2015-07-09 00:00:00",5.5,2017.2
"2015-07-09 00:00:00",5,2012.2
"2015-07-09 00:00:00",12.99,1999.21
"2015-07-10 00:00:00",5.5,1993.71
"2015-07-10 00:00:00",7.75,1985.96
"2015-07-10 00:00:00",120,2105.96
"2015-07-10 00:00:00",92,2013.96
"2015-07-10 00:00:00",5.5,2008.46
"2015-07-12 00:00:00",5.5,2002.96
"2015-07-12 00:00:00",15.87,1987.09
"2015-07-12 00:00:00",112.31,1874.78
"2015-07-13 00:00:00",5.5,1869.28
"2015-07-13 00:00:00",5.5,1863.78
"2015-07-13 00:00:00",114,1749.78
"2015-07-14 00:00:00",5.5,1744.28
"2015-07-14 00:00:00",5.5,1738.78
"2015-07-15 00:00:00",5.5,1733.28
"2015-07-15 00:00:00",5.49,1727.79
"2015-07-16 00:00:00",5.5,1722.29
"2015-07-16 00:00:00",5.49,1716.8
"2015-07-16 00:00:00",3.99,1712.81
"2015-07-16 00:00:00",116.55,1596.26
"2015-07-17 00:00:00",5.5,1590.76
"2015-07-17 00:00:00",3.5,1587.26
"2015-07-17 00:00:00",22.21,1565.05
"2015-07-17 00:00:00",120,1445.05
"2015-07-19 00:00:00",32,1413.05
"2015-07-19 00:00:00",350,1063.05
"2015-07-19 00:00:00",5.3,1057.75
"2015-07-22 00:00:00",98.21,959.54
"2015-07-25 00:00:00",5.3,954.24
"2015-07-26 00:00:00",113.24,841
"2015-07-27 00:00:00",5.5,835.5
"2015-07-27 00:00:00",4.99,830.51
"2015-07-27 00:00:00",23.22,807.29
"2015-07-28 00:00:00",5.5,801.79
"2015-07-28 00:00:00",4.99,796.8
"2015-07-28 00:00:00",41.24,755.56
"2015-07-29 00:00:00",5.5,750.06
"2015-07-29 00:00:00",5.49,744.57
"2015-07-30 00:00:00",5.5,739.07
"2015-07-30 00:00:00",5.49,733.58
"2015-07-31 00:00:00",5.5,728.08
"2015-07-31 00:00:00",5.99,722.09
"2015-07-31 00:00:00",3564,4286.09
"2015-07-31 00:00:00",24.11,4261.98
"2015-07-31 00:00:00",15,4246.98
"2015-08-01 00:00:00",45,4201.98
"2015-08-01 00:00:00",850,3351.98
"2015-08-01 00:00:00",26.66,3325.32
"2015-08-01 00:00:00",41.99,3283.33
"2015-08-01 00:00:00",32.99,3250.34
"2015-08-02 00:00:00",41.23,3209.11
"2015-08-02 00:00:00",121.87,3087.24
"2015-08-02 00:00:00",200,2887.24
"2015-08-03 00:00:00",5.5,2881.74
"2015-08-03 00:00:00",5.49,2876.25
"2015-08-03 00:00:00",42,2834.25
"2015-08-04 00:00:00",5.5,2828.75
"2015-08-04 00:00:00",5.49,2823.26
"2015-08-04 00:00:00",68.25,2755.01
"2015-08-04 00:00:00",55,2700.01
"2015-08-04 00:00:00",15.46,2684.55
"2015-08-04 00:00:00",87.33,2597.22
"2015-08-05 00:00:00",5.5,2591.72
"2015-08-05 00:00:00",5.49,2586.23
"2015-08-05 00:00:00",21.73,2564.5
"2015-08-06 00:00:00",5.5,2559
"2015-08-06 00:00:00",5.99,2553.01
"2015-08-07 00:00:00",5.5,2547.51
"2015-08-07 00:00:00",6.89,2540.62
"2015-08-07 00:00:00",12.37,2528.25
"2015-08-07 00:00:00",10,2518.25
