@relation Timestamps
@attribute PostDate DATE “yyyy.MM.dd”
@attribute TransactionAmount numeric
@attribute Balance numeric
@data
"2015.07.27",5.5,835.5
"2015.07.27",4.99,830.51
"2015.07.27",23.22,807.29
"2015.07.28",5.5,801.79
"2015.07.28",4.99,796.8
"2015.07.28",41.24,755.56
"2015.07.29",5.5,750.06
"2015.07.29",5.49,744.57
"2015.07.30",5.5,739.07
"2015.07.30",5.49,733.58
"2015.07.31",5.5,728.08
"2015.07.31",5.99,722.09
"2015.07.31",3564,4286.09
"2015.07.31",24.11,4261.98
"2015.07.31",15,4246.98
"2015.08.01",45,4201.98
"2015.08.01",850,3351.98
"2015.08.01",26.66,3325.32
"2015.08.01",41.99,3283.33
"2015.08.01",32.99,3250.34
"2015.08.02",41.23,3209.11
"2015.08.02",121.87,3087.24
"2015.08.02",200,2887.24
"2015.08.03",5.5,2881.74
"2015.08.03",5.49,2876.25
"2015.08.03",42,2834.25
"2015.08.04",5.5,2828.75
"2015.08.04",5.49,2823.26
"2015.08.04",68.25,2755.01
"2015.08.04",55,2700.01
"2015.08.04",15.46,2684.55
"2015.08.04",87.33,2597.22
"2015.08.05",5.5,2591.72
"2015.08.05",5.49,2586.23
"2015.08.05",21.73,2564.5
"2015.08.06",5.5,2559
"2015.08.06",5.99,2553.01
"2015.08.07",5.5,2547.51
"2015.08.07",6.89,2540.62
"2015.08.07",12.37,2528.25
"2015.08.07",10,2518.25
