PostDate	TransactionAmount	TransactionBaseType	Balance
6/20/15	80.25	Debit	690.8
6/21/15	100	Debit	590.8
6/21/15	183	Debit	407.8
6/22/15	98.21	Debit	309.59
6/23/15	90.42	Debit	219.17
6/25/15	4.99	Debit	214.18
6/26/15	5.5	Debit	208.68
6/26/15	5.49	Debit	203.19
6/26/15	10	Debit	193.19
6/26/15	3564.00	Credit	3757.19
6/27/15	2.4	Debit	3754.79
6/27/15	8.99	Debit	3745.80
6/27/15	12.99	Debit	3732.81
6/27/15	9.99	Debit	3722.82
6/28/15	112.78	Debit	3610.04
6/28/15	2.4	Debit	3607.64
6/28/15	45.76	Debit	3561.88
6/29/15	5.5	Debit	3556.38
6/29/15	5.99	Debit	3550.39
6/30/15	5.5	Debit	3544.89
6/30/15	5.99	Debit	3538.90
7/1/15	5.5	Debit	3533.40
7/1/15	5.99	Debit	3527.41
7/1/15	26.66	Debit	3500.75
7/1/15	850	Debit	2650.75
7/2/15	5.5	Debit	2645.25
7/2/15	5.99	Debit	2639.26
7/2/15	200	Debit	2439.26
7/3/15	5.5	Debit	2433.76
7/3/15	5.99	Debit	2427.77
7/3/15	42	Debit	2385.77
7/3/15	5	Debit	2380.77
7/3/15	87.33	Debit	2293.44
7/4/15	43.26	Debit	2250.18
7/4/15	55	Debit	2195.18
7/4/15	5.5	Debit	2189.68
7/4/15	15	Debit	2174.68
7/5/15	112.21	Debit	2062.47
7/6/15	5.5	Debit	2056.97
7/7/15	5.5	Debit	2051.47
7/7/15	4.99	Debit	2046.48
7/8/15	5.5	Debit	2040.98
7/8/15	5.29	Debit	2035.69
7/8/15	12.99	Debit	2022.70
7/9/15	5.5	Debit	2017.20
7/9/15	5	Debit	2012.20
7/9/15	12.99	Debit	1999.21
7/10/15	5.5	Debit	1993.71
7/10/15	7.75	Debit	1985.96
7/10/15	120	Credit	2105.96
7/10/15	92	Debit	2013.96
7/10/15	5.5	Debit	2008.46
7/12/15	5.5	Debit	2002.96
7/12/15	15.87	Debit	1987.09
7/12/15	112.31	Debit	1874.78
7/13/15	5.5	Debit	1869.28
7/13/15	5.5	Debit	1863.78
7/13/15	114	Debit	1749.78
7/14/15	5.5	Debit	1744.28
7/14/15	5.5	Debit	1738.78
7/15/15	5.5	Debit	1733.28
7/15/15	5.49	Debit	1727.79
7/16/15	5.5	Debit	1722.29
7/16/15	5.49	Debit	1716.80
7/16/15	3.99	Debit	1712.81
7/16/15	116.55	Debit	1596.26
7/17/15	5.5	Debit	1590.76
7/17/15	3.5	Debit	1587.26
7/17/15	22.21	Debit	1565.05
7/17/15	120	Debit	1445.05
7/19/15	32	Debit	1413.05
7/19/15	350	Debit	1063.05
7/19/15	5.3	Debit	1057.75
7/22/15	98.21	Debit	959.54
7/25/15	5.3	Debit	954.24
7/26/15	113.24	Debit	841
7/27/15	5.5	Debit	835.5
7/27/15	4.99	Debit	830.51
7/27/15	23.22	Debit	807.29
7/28/15	5.5	Debit	801.79
7/28/15	4.99	Debit	796.8
7/28/15	41.24	Debit	755.56
7/29/15	5.5	Debit	750.06
7/29/15	5.49	Debit	744.57
7/30/15	5.5	Debit	739.07
7/30/15	5.49	Debit	733.58
7/31/15	5.5	Debit	728.08
7/31/15	5.99	Debit	722.09
7/31/15	3564.00	Credit	4286.09
7/31/15	24.11	Debit	4261.98
7/31/15	15	Debit	4246.98
8/1/15	45	Debit	4201.98
8/1/15	850	Debit	3351.98
8/1/15	26.66	Debit	3325.32
8/1/15	41.99	Debit	3283.33
8/1/15	32.99	Debit	3250.34
8/2/15	41.23	Debit	3209.11
8/2/15	121.87	Debit	3087.24
8/2/15	200	Debit	2887.24
8/3/15	5.5	Debit	2881.74
8/3/15	5.49	Debit	2876.25
8/3/15	42	Debit	2834.25
8/4/15	5.5	Debit	2828.75
8/4/15	5.49	Debit	2823.26
8/4/15	68.25	Debit	2755.01
8/4/15	55	Debit	2700.01
8/4/15	15.46	Debit	2684.55
8/4/15	87.33	Debit	2597.22
8/5/15	5.5	Debit	2591.72
8/5/15	5.49	Debit	2586.23
8/5/15	21.73	Debit	2564.50
8/6/15	5.5	Debit	2559.00
8/6/15	5.99	Debit	2553.01
8/7/15	5.5	Debit	2547.51
8/7/15	6.89	Debit	2540.62
8/7/15	12.37	Debit	2528.25
8/7/15	10	Debit	2518.25
